amount,sender_name,sender_ref
60,"Stöberlin, Georg Christian",https://d-nb.info/gnd/120149753
60,Christian Lassen,https://d-nb.info/gnd/119512831
59,"Bugenhagen, Johannes",https://d-nb.info/gnd/118517287
58,Johann Sebastian Bach,https://d-nb.info/gnd/11850553X
58,"Metzger, Martin Christoph",https://d-nb.info/gnd/12276451X
58,"Brandes, Georg",https://d-nb.info/gnd/118514326
57,Friedrich Heinrich von Seckendorff (-Gutend),https://d-nb.info/gnd/119473798
57,Christian Gottfried Ehrenberg,https://d-nb.info/gnd/118529250
57,Auguste Louis de Staël-Holstein,https://d-nb.info/gnd/117202770
57,Erhard Friedrich Vogel,https://d-nb.info/gnd/100056458
56,Franz Bopp,https://d-nb.info/gnd/118659332
56,"Jarnach, Philipp",https://d-nb.info/gnd/11928586X
56,"Pougens, Charles de",https://d-nb.info/gnd/100229573
56,"Sebisch, Melchior",https://d-nb.info/gnd/117459003
55,Breitkopf - Härtel,https://d-nb.info/gnd/000647667
55,"Mordeisen, Ulrich",https://d-nb.info/gnd/119767058
55,"Schnitzler, Olga",https://d-nb.info/gnd/116848723
55,"Schenck, Johann Theodor",https://d-nb.info/gnd/124443346
55,Friedrich Justin Bertuch,https://d-nb.info/gnd/118510169
55,"Klemensiewicz, Rudolf",https://d-nb.info/gnd/102749728
55,"Amalric, François de Sales",https://d-nb.info/gnd/10001495X
55,"Bauhin, Caspar",https://d-nb.info/gnd/11884962X
55,Giuseppe Jozzi,https://d-nb.info/gnd/132794500
54,Louis Mathieu Langlès,https://d-nb.info/gnd/116725087
54,Marianne Pirker,https://d-nb.info/gnd/13590417X
54,"Albrecht, Johann Sebastian",https://d-nb.info/gnd/11628384X
54,"Schauenstein, Adolf",https://d-nb.info/gnd/1029625700
54,"Scheffer, Wilhelm Ernst",https://d-nb.info/gnd/117185868
53,"Loelius, Johann Lorenz",https://d-nb.info/gnd/115653996
53,"Andreae, Johann Gerhard Reinhard",https://d-nb.info/gnd/116012366
53,Ludwig Fachs,https://d-nb.info/gnd/125009496
53,Johann Carl Fürchtegott Schlegel,https://d-nb.info/gnd/100799434
51,Johann Lorenz Mosheim,https://d-nb.info/gnd/118737147
51,"Schroeck, Lucas",https://d-nb.info/gnd/117061166
51,"Kramer, Johann Georg Heinrich",https://d-nb.info/gnd/105111909X
51,Friedrich Benedikt von Oertel,https://d-nb.info/gnd/100802834
51,Fs. Wolfgang von Anhalt,https://d-nb.info/gnd/120849461
50,"Gauß, Minna [geb. Waldeck]",https://d-nb.info/gnd/1072588277
50,Emilie von Berlepsch,https://d-nb.info/gnd/116135697
50,"Gudin de La Brenellerie, Paul-Philippe",https://d-nb.info/gnd/116909102
50,"Burckhard, Max",https://d-nb.info/gnd/117161144
50,"Delius, Heinrich Friedrich von",https://d-nb.info/gnd/116063440
50,Dr. Simon Pistoris,https://d-nb.info/gnd/123502721
50,"Adam, Robert",https://d-nb.info/gnd/1020823992
50,"Euler, Jean Albert",https://d-nb.info/gnd/116610832
50,"Zwinger, Theodor",https://d-nb.info/gnd/118773313
50,Damian Hugo von Virmont,https://d-nb.info/gnd/102205337
49,"Zwinger, Jakob",https://d-nb.info/gnd/116002735
49,"Stricker, Salomon",https://d-nb.info/gnd/117318477
49,Kaiser Ferdinand III.,https://d-nb.info/gnd/118532529
48,"Henning, Leopold von",https://d-nb.info/gnd/100162878
48,"Petersen, Adolf Cornelius",https://d-nb.info/gnd/116121971
48,"Benedict, Julius",https://d-nb.info/gnd/116119985
47,"Kadelbach, Christian Friedrich",https://d-nb.info/gnd/116015667
47,Johann Gottfried Walther,https://d-nb.info/gnd/11882581X
47,"Spon, Charles",https://d-nb.info/gnd/130068063
47,Isaak Volmar,https://d-nb.info/gnd/118838598
46,"Weber, Wilhelm",https://d-nb.info/gnd/11862976X
46,"Kühnel, Ambrosius",https://d-nb.info/gnd/119060949
46,"Valentini, Michael Bernhard",https://d-nb.info/gnd/117340650
46,"Gleichen-Rußwurm, Emilie von",https://d-nb.info/gnd/116657979
46,Désiré Raoul Rochette,https://d-nb.info/gnd/115431241
46,"Springsfeld, Gottlob Karl",https://d-nb.info/gnd/1013215540
45,"Freund, Robert",https://d-nb.info/gnd/116781718
45,Franz Marc,https://d-nb.info/gnd/11857745X
45,Karl Barth,https://d-nb.info/gnd/118506803
45,"Trionfetti, Giovanni Battista",https://d-nb.info/gnd/121522288
45,"Starkmann, Johann Georg",https://d-nb.info/gnd/121334317
45,"Hoffmann, Moritz",https://d-nb.info/gnd/102410453
45,"Kind, Johann Friedrich",https://d-nb.info/gnd/118885235
44,Andreas Daniel Berthold von Schepeler,https://d-nb.info/gnd/130869597
44,"Pernauer, Georg Ferdinand von",https://d-nb.info/gnd/129203823
44,"Scheid, Baltasar",https://d-nb.info/gnd/1104872188
44,"Ende, Henriette Freifrau von",https://d-nb.info/gnd/116471875
44,Constanze Mozart,https://d-nb.info/gnd/11873721X
43,"Hotton, Petrus",https://d-nb.info/gnd/117532002
43,Carl Friedrich Ludwig Christian Graf von Lehndorff,https://d-nb.info/gnd/122701852
43,Karl Friedrich Alexander von Arnswaldt,https://d-nb.info/gnd/116352655
43,"Richter, Emma",https://d-nb.info/gnd/119312611
43,Propst [Justus Jonas],https://d-nb.info/gnd/118712926
43,"Hoppenstedt, Georg E. Friedrich",https://d-nb.info/gnd/116982519
43,Johann Christian Bach,https://d-nb.info/gnd/118505521
43,"Patin, Guy",https://d-nb.info/gnd/11768998X
43,"Collinson, Peter",https://d-nb.info/gnd/11769620X
42,"Marron, Paul-Henri",https://d-nb.info/gnd/116790490
42,"Hentze, Rudolph Gottlieb",https://d-nb.info/gnd/1099097282
42,"Fugger, Alexander Secundus",https://d-nb.info/gnd/117752282
42,"Bergen, Carl August von",https://d-nb.info/gnd/11816919X
42,"Gay, Sophie, baronne de Lupigny, geb. Nichault de la Valette",https://d-nb.info/gnd/11647260X
42,"Thran, Christian",https://d-nb.info/gnd/100643523
42,"Lavater, Johann Heinrich",https://d-nb.info/gnd/132427850
42,Amalie Wolper,https://d-nb.info/gnd/1025657268
42,"Viennet, Jean-Pons-Guillaume",https://d-nb.info/gnd/11741395X
41,"Weissmann, Johann Friedrich",https://d-nb.info/gnd/135821363
41,Viktor Fraenkl,https://d-nb.info/gnd/1033463884
41,"Stassart, Goswin Joseph Augustin, baron de",https://d-nb.info/gnd/117218243
41,Johann Georg Jacobi,https://d-nb.info/gnd/118775782
41,Melchior Zobel von Giebelstadt,https://d-nb.info/gnd/11700846X
40,"Seebeck, Thomas Johann",https://d-nb.info/gnd/117654698
40,"Winkler, Karl Theodor",https://d-nb.info/gnd/118633716
40,Charlotte Ernst,https://d-nb.info/gnd/128971827
40,"Fürstenau, Moritz",https://d-nb.info/gnd/102532907
40,Hans Georg von Ahlefeldt,https://d-nb.info/gnd/116056082X
40,"Jemgumer Closter, Friedrich Lorenz von",https://d-nb.info/gnd/1015005500
40,"Hommel, Johann Ludwig",https://d-nb.info/gnd/11870687X
40,"Gmelin, Johann Georg",https://d-nb.info/gnd/116684909
39,"Schreck, Christoph Jacob",https://d-nb.info/gnd/117033588
39,"Benincasa, Bartolomeo",https://d-nb.info/gnd/117768502
39,Friedrich Carl von Savigny,https://d-nb.info/gnd/118605909
39,"Zimmermann, Eberhard August Wilhelm von",https://d-nb.info/gnd/11882435X
39,"Seba, Albert",https://d-nb.info/gnd/123436397
39,"Molitor, Johann",https://d-nb.info/gnd/136505120
39,Friedrich Christoph Perthes,https://d-nb.info/gnd/118790471
38,"Böhme, Carl Gotthelf Siegmund",https://d-nb.info/gnd/116221097
38,"Benzenberg, Johann Friedrich",https://d-nb.info/gnd/119019930
38,"Zach, Franz Xaver Freiherr von",https://d-nb.info/gnd/1186238267
38,"Alibert, Jean-Louis, baron",https://d-nb.info/gnd/118501984
38,"Amman, Johann Conrad",https://d-nb.info/gnd/1093434384
38,Wilhelm Heinse,https://d-nb.info/gnd/118548565
38,"Casabona, Giuseppe de",https://d-nb.info/gnd/11952550X
38,"Auernheimer, Raoul",https://d-nb.info/gnd/118505033
37,"May, Johann Christoph",https://d-nb.info/gnd/1019738448
37,"Rassius, A.",https://d-nb.info/gnd/1085662500
37,Alexander Johnston,https://d-nb.info/gnd/117165832
37,"Melm, Johann Wilhelm",https://d-nb.info/gnd/112230711X
37,"Schellhammer, Sigismund",https://d-nb.info/gnd/124420494
37,"Dietrich, Veit",https://d-nb.info/gnd/118671928
37,Clemens Brentano,https://d-nb.info/gnd/118515055
37,"Hauptmann, Johanna",https://d-nb.info/gnd/116534745
37,"Scholz, Lorenz",https://d-nb.info/gnd/116911670
37,Johann Heinrich Voß d. Ä.,https://d-nb.info/gnd/118627910
36,"Herden, Wolfgang von",https://d-nb.info/gnd/119706288
36,"Gerber, Friedrich",https://d-nb.info/gnd/121883531
36,Friedrich Schiller,https://d-nb.info/gnd/118607626
36,"Lichtensteger, Georg",https://d-nb.info/gnd/116985801
36,Samuel Pufendorf,https://d-nb.info/gnd/118597051
36,Augusta von Buttlar,https://d-nb.info/gnd/117186880
36,"Linden, Gustaf",https://d-nb.info/gnd/117024562
