amount,receiver_name,receiver_ref
38,Philipp Reger,https://d-nb.info/gnd/116390794
38,"Aurifaber Vratislaviensis, Johannes",https://d-nb.info/gnd/130466042
37,"Brendel, Johann Martin",https://d-nb.info/gnd/117751545
37,"Seebeck, Thomas Johann",https://d-nb.info/gnd/117654698
37,Graf Maximilian von Trauttmansdorff,https://d-nb.info/gnd/115775854
37,"Boucharlat, Jean-Louis",https://d-nb.info/gnd/117622192
37,Padre Martini,https://d-nb.info/gnd/118731386
37,"Henning, Leopold von",https://d-nb.info/gnd/100162878
37,"Barbier, Louis-Nicolas",https://d-nb.info/gnd/116051930
36,"Harmes, Emilie Dorothea Friederike",https://d-nb.info/gnd/116135697
36,"Popowitsch, Johann Siegmund Valentin",https://d-nb.info/gnd/119362589
36,"Stöberlin, Georg Christian",https://d-nb.info/gnd/120149753
36,Johann Hess,https://d-nb.info/gnd/116778474
36,Friedrich Schleiermacher,https://d-nb.info/gnd/118608045
36,"Fuß, Nikolaus",https://d-nb.info/gnd/116878894
35,"Wagner, Lorenz Heinrich",https://d-nb.info/gnd/11710311X
35,Simon Pistoris der Jüngere,https://d-nb.info/gnd/123502721
35,"Freund, Robert",https://d-nb.info/gnd/116781718
35,"Schaller, Hieronymus",https://d-nb.info/gnd/143381652
35,Kaspar Friedrich (ab 1834 Freiherr) von Schuckmann,https://d-nb.info/gnd/117123560
35,"Lersner, Heinrich",https://d-nb.info/gnd/136659144
35,"Truchsess von Wetzhausen, Christian Freiherr",https://d-nb.info/gnd/11880281X
35,"Herzl, Theodor",https://d-nb.info/gnd/118550241
35,Charlotte Lortzing,https://d-nb.info/gnd/141831774
35,"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux",https://d-nb.info/gnd/116258659
35,"Camerarius, Joachim",https://d-nb.info/gnd/117669318
35,Pieter Camper,https://d-nb.info/gnd/119291827
35,Johann Christoph Friedrich Bach,https://d-nb.info/gnd/118651471
35,"Hausmann, Bernhard",https://d-nb.info/gnd/116540044
35,Carl Gustav von Brinckmann,https://d-nb.info/gnd/116519770
35,"Schwendler, Auguste Sophie Henriette",https://d-nb.info/gnd/117418269
34,Guillaume Favre,https://d-nb.info/gnd/116424184
34,Hz. Johann Albrecht von Mecklenburg,https://d-nb.info/gnd/1089922159
34,"Crodelius, Marcus",https://d-nb.info/gnd/131695983
34,Philipp Düringer,https://d-nb.info/gnd/116240075
34,Johann zu Heideck,https://d-nb.info/gnd/1047786753
34,Georg Joachim Göschen,https://d-nb.info/gnd/136044530
33,"Volckamer, Georg Christoph",https://d-nb.info/gnd/130285307
33,"Uechtritz, Friedrich von",https://d-nb.info/gnd/118963813
33,Aimé Bonpland,https://d-nb.info/gnd/118661604
33,"Groote, Richard",https://d-nb.info/gnd/116866152
33,Wolfgang von Anhalt,https://d-nb.info/gnd/120849461
33,Johann Wilhelm von Archenholtz,https://d-nb.info/gnd/118503839
32,Wolf Koller (Amtmann zu Eckersberge),https://d-nb.info/gnd/142031607
32,"Waldor, Mélanie, geb. Villenave",https://d-nb.info/gnd/136882862
32,Prinz August von Sachsen-Gotha und Altenburg,https://d-nb.info/gnd/118849794
32,"Salten, Felix",https://d-nb.info/gnd/118840819
32,"Weber, Franz Anton von",https://d-nb.info/gnd/117158542
32,Lazarus von Schwendi,https://d-nb.info/gnd/118760130
32,"Schmidt, August",https://d-nb.info/gnd/117501816
32,Viktor Fraenkl,https://d-nb.info/gnd/1033463884
32,"Richter, Emma",https://d-nb.info/gnd/119312611
31,Joseph Friedrich Schelling,https://d-nb.info/gnd/11721695X
31,Heinrich Wilhelm von Gerstenberg,https://d-nb.info/gnd/118690949
31,[Gregor] Brück,https://d-nb.info/gnd/118674579
31,Johann Georg Zimmer,https://d-nb.info/gnd/116993871
31,"Reinhard, Marie",https://d-nb.info/gnd/123368790
31,"Zweig, Stefan",https://d-nb.info/gnd/118637479
31,Friedrich Justus Riedel,https://d-nb.info/gnd/118788795
30,Gerhard Ritter,https://d-nb.info/gnd/11874545X
30,"Müller, Georg Wilhelm",https://d-nb.info/gnd/1035074192
30,"Montémont, Albert",https://d-nb.info/gnd/100526888
30,"Mirault, Monsieur (Claude-François?, Mitglied des Athénée des arts)",https://d-nb.info/gnd/1055576428
30,Friedrich von Raumer,https://d-nb.info/gnd/119059622
30,Johann Kaspar Lavater,https://d-nb.info/gnd/118570293
30,Charlotte Wilhelmine Geßner,https://d-nb.info/gnd/116599995
30,"Roeder, C. G.",https://d-nb.info/gnd/133863220
